City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
136,Kanashevo,RU,55.2169,62.0634,63.45,82,59,3.11,broken clouds
137,Ribeira Grande,PT,38.5167,-28.7,79.2,78,40,12.66,scattered clouds
138,Portree,GB,57.4129,-6.1942,60.53,96,100,8.19,overcast clouds
139,Hermanus,ZA,-34.4187,19.2345,48.79,67,47,6.53,scattered clouds
140,Maningrida,AU,-12.0667,134.2667,56.84,80,69,7.14,broken clouds
141,Victoria,HK,22.2855,114.1577,84.81,77,3,10.18,clear sky
142,Naze,JP,28.3667,129.4833,77.95,77,100,2.73,overcast clouds
143,Elizabeth City,US,36.2946,-76.2511,97.79,32,87,9.8,overcast clouds
144,Souillac,MU,-20.5167,57.5167,70.18,83,40,13.8,light rain
145,Havoysund,NO,70.9963,24.6622,50.63,93,100,18.5,overcast clouds
146,Namie,JP,37.4833,141.0,72.01,83,61,3.0,broken clouds
147,Ponta Do Sol,PT,32.6667,-17.1,80.71,74,35,4.52,scattered clouds
148,Batticaloa,LK,7.7102,81.6924,81.46,70,34,10.63,scattered clouds
149,Krasnoselkup,RU,65.7,82.4667,56.17,92,47,3.56,scattered clouds
150,Cabinda,AO,-5.55,12.2,71.11,86,47,7.56,scattered clouds
151,Sioux Lookout,CA,50.1001,-91.917,73.47,56,100,2.3,overcast clouds
152,Biak,ID,-0.9131,122.8766,74.91,86,62,4.9,broken clouds
153,Camacha,PT,33.0833,-16.3333,69.22,78,20,13.8,few clouds
154,Georgetown,MY,5.4112,100.3354,80.53,94,20,3.44,few clouds
155,Vadso,NO,70.0744,29.7487,58.08,71,75,12.66,broken clouds
156,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,83,75,10.36,broken clouds
157,Barrow,US,71.2906,-156.7887,35.62,93,100,11.5,mist
158,Mehamn,NO,71.0357,27.8492,51.75,93,82,13.8,drizzle
159,Loubomo,CG,-4.1997,12.6739,76.03,63,93,9.37,overcast clouds
160,Portland,US,45.5234,-122.6762,68.09,67,100,6.91,overcast clouds
161,Lompoc,US,34.6391,-120.4579,71.92,80,100,10.36,overcast clouds
162,Kupang,ID,-10.1667,123.5833,69.51,72,68,8.14,broken clouds
163,Codajas,BR,-3.8367,-62.0569,85.3,62,92,2.42,overcast clouds
164,Avarua,CK,-21.2078,-159.775,73.45,68,75,10.36,broken clouds
165,Husavik,IS,66.0449,-17.3389,50.45,81,67,6.67,broken clouds
166,Necochea,AR,-38.5473,-58.7368,61.9,63,100,5.82,overcast clouds
167,Brenham,US,30.1669,-96.3977,96.82,36,26,8.28,scattered clouds
168,Hohhot,CN,40.8106,111.6522,68.29,56,0,6.71,clear sky
169,Berlevag,NO,70.8578,29.0864,51.58,91,77,18.01,broken clouds
170,Saint George,US,37.1041,-113.5841,99.25,23,20,12.66,few clouds
171,Zemio,CF,5.0314,25.1361,70.59,94,77,1.74,broken clouds
172,Bud,US,39.447,-86.1758,89.2,55,56,9.73,broken clouds
173,Thomaston,US,32.8882,-84.3266,90.09,65,75,5.75,broken clouds
174,Rio Gallegos,AR,-51.6226,-69.2181,33.85,75,0,16.11,clear sky
175,Pitimbu,BR,-7.4706,-34.8086,82.99,78,80,17.16,broken clouds
176,Pokrovsk,UA,48.282,37.1758,67.24,64,80,5.66,broken clouds
177,Hobyo,SO,5.3505,48.5268,76.78,82,48,28.77,scattered clouds
178,Kismayo,SO,-0.3582,42.5454,75.9,82,10,19.73,clear sky
179,Douglas,US,41.3,-96.167,96.73,38,0,18.41,clear sky
180,Uni,RU,57.7535,51.4923,66.42,74,93,2.66,overcast clouds
181,Andenes,NO,69.3143,16.1194,50.94,87,100,10.36,overcast clouds
182,Jieshi,CN,22.8134,115.8257,84.24,82,8,8.72,clear sky
183,Atar,MR,20.5169,-13.0499,92.21,43,85,5.35,light rain
184,Verkhoyansk,RU,67.5447,133.385,58.6,89,61,3.49,light rain
185,Namibe,AO,-15.1961,12.1522,64.0,90,15,3.89,few clouds
186,Sirjan,IR,29.452,55.6814,79.56,41,25,11.14,scattered clouds
187,Dunedin,NZ,-45.8742,170.5036,42.8,69,0,11.01,clear sky
188,Nikolskoye,RU,59.7035,30.7861,71.49,96,94,4.05,light rain
189,Shizuishan,CN,39.2333,106.7694,77.04,43,2,11.16,clear sky
190,Kamaishi,JP,39.2667,141.8833,69.87,95,100,3.89,heavy intensity rain
